"video_url","author","comment","votes","time","is_reply","teks_bersih","skor_sentimen","sentimen"
"https://youtu.be/HHNJNRrzb5A?si=NTl9fUpn-sjPDXJj","@Alkha_ha","Otw co ini mah, jarang2 aku nemuin produk makanan yg sehat tp enak. 😅","0","3 days ago","False","otw co mah jarang aku nemuin produk makan sehat enak","2","positif"
"https://youtu.be/HHNJNRrzb5A?si=NTl9fUpn-sjPDXJj","@anaria9902","Rata - rata Yang menghasilkan karya yang baik itu biasa jatuh bangun berkali-kali..","0","5 days ago","False","rata rata hasil karya baik biasa jatuh bangun kali kali","2","positif"
"https://youtu.be/HHNJNRrzb5A?si=NTl9fUpn-sjPDXJj","@Aizysavega777","dokterr tirta dong","1","6 days ago","False","dokterr tirta dong","0","netral"
"https://youtu.be/HHNJNRrzb5A?si=NTl9fUpn-sjPDXJj","@nabilaraisyaelias8303","Keceee insightnyaa! Semangat Koko LeanLab, aku sering nonton lagi live nya sambil belanja dry rub wkwk","0","6 days ago","False","keceee insightnyaa semangat koko leanlab aku sering nonton live nya belanja dry rub wkwk","1","positif"
"https://youtu.be/HHNJNRrzb5A?si=NTl9fUpn-sjPDXJj","@alvindwis5901","Suara berkelas panggil aderai dong dia orang  yg ngerubah saya dan  pasti nya sangat berkelas juga","2","8 days ago","False","suara kelas panggil aderai dong orang ngerubah dan nya sangat kelas","1","positif"
"https://youtu.be/HHNJNRrzb5A?si=NTl9fUpn-sjPDXJj","@Ololo-cliper","Enaknya dengerin saat sedang tidur","2","8 days ago","False","enak dengerin sedang tidur","1","positif"
"https://youtu.be/HHNJNRrzb5A?si=NTl9fUpn-sjPDXJj","@Venesiac","Insightful banget, makasih ya udah undang pembicara ini 🥹👍🏻","2","8 days ago","False","insightful banget terima kasih sudah undang bicara","5","positif"
"https://youtu.be/HHNJNRrzb5A?si=NTl9fUpn-sjPDXJj","@arilanam9039","panggil dokter Tirta pls, atau udah pernah??tlg mau liat kalo udh pernah","6","8 days ago","False","panggil dokter tirta pls pernah tlg mau liat kalo sudah pernah","0","netral"
"https://youtu.be/HHNJNRrzb5A?si=NTl9fUpn-sjPDXJj","@RzkyFrmnsyh.12","Bukanlah sesuatu yang ditemukan, melainkan sesuatu yang diciptakan melalui konsistensi, kerja keras, dan menjadi ahli di bidang yang ditekuni. thanks untuk konten nya meskipun perubahan sedikit demi sedikit 😇🥰🙏","14","9 days ago","False","bukan temu sesuatu cipta lalu konsistensi kerja keras jadi ahli bidang yang tekun terima kasih konten nya meski ubah sedikit sedikit","7","positif"
"https://youtu.be/HHNJNRrzb5A?si=NTl9fUpn-sjPDXJj","@AlgoNudger","Nasib seorang founder dan ilmuwan itu gak jauh beda, mereka harus siap dan rela menempuh a very lonely journey. 

IYKYK 😢","5","9 days ago","False","nasib orang founder ilmuwan tidak jauh beda harus siap rela tempuh a very lonely journey iykyk","-1","negatif"
"https://youtu.be/HHNJNRrzb5A?si=NTl9fUpn-sjPDXJj","@SahrulRamadhan-p6i","Suara berkelas,terimaksih kmu telah menambah wawasan dan pengetahuan kmi,","4","9 days ago","False","suara kelas terimaksih kamu tambah wawas tahu kmi","0","netral"
"https://youtu.be/HHNJNRrzb5A?si=NTl9fUpn-sjPDXJj","@indramunte140","❤❤❤❤❤","2","9 days ago","False","","5","positif"
"https://youtu.be/HHNJNRrzb5A?si=NTl9fUpn-sjPDXJj","@AlvitoDesu","Pertama bil🙌","4","9 days ago","False","pertama bil","1","positif"
"https://youtu.be/WRxJGz-TA44?si=rfAIXKsyYvCPQPkk","@Jatongmangbanjarnohar","❤❤","0","33 minutes ago","False","","2","positif"
"https://youtu.be/WRxJGz-TA44?si=rfAIXKsyYvCPQPkk","@BondanPrayoga-t5x","kak ada conseling nya gak?","0","2 hours ago","False","kak conseling nya","0","netral"
"https://youtu.be/WRxJGz-TA44?si=rfAIXKsyYvCPQPkk","@rodismanrajagukguk9934","Alhamdulillah 
Terima kasih Sharingnya Suara Berkelas❤ Dan Kak Analisa Widyaningrum❤","0","19 hours ago (edited)","False","alhamdulillah terima kasih sharingnya suara kelas kak analisa widyaningrum","5","positif"
"https://youtu.be/WRxJGz-TA44?si=rfAIXKsyYvCPQPkk","@M4D3T0T0CARIYA","Insight dari psikolognya daging semua! Bikin mikir ulang tentang work-life balance dan prioritas mental health. Podcast paling berkualitas saat ini 💯","0","20 hours ago","False","insight psikolog daging semua bikin mikir ulang work life balance prioritas mental health podcast paling kualitas ini","1","positif"
"https://youtu.be/WRxJGz-TA44?si=rfAIXKsyYvCPQPkk","@M4D3T0T0CARIYA","Relate banget sama pembahasan episode kali ini. Sadar banget kalau selama ini kerja cuma buat ngejar ekspektasi orang lain sampai lupa sama jati diri sendiri. Terima kasih SUARA BERKELAS! 🙏✨","0","20 hours ago","False","relate banget sama bahas episode kali sadar banget kalau lama kerja cuma buat ngejar ekspektasi orang sampai lupa sama jati diri sendiri terima kasih suara kelas","7","positif"
"https://youtu.be/WRxJGz-TA44?si=rfAIXKsyYvCPQPkk","@lutfiahrizky692","ke trigger dikit dan kena dikit egonya, karena pernah pengalaman dengan hal ini, ternyat org"" tu ga sepenuhnya salah, tpi aku yang terlalu membawa personal baggage ku ke satu kerjaan","0","1 day ago","False","trigger dikit kena dikit ego pernah alam hal ternyat orang tu sepenuh salah aku terlalu bawa personal baggage ku satu kerja","0","netral"
"https://youtu.be/WRxJGz-TA44?si=rfAIXKsyYvCPQPkk","@ArifUSGM-t4m","Kamu tak harus menjadi sempurna untuk dilihat mereka,karena orang sekelilingmu akan mencintaimu apa adanya, yg Kamu butuhkan adalah jadilah dirimu yg bertumbuh, yg selalu belajar dari setiap kekuranganmu","0","1 day ago","False","kamu tak jadi sempurna lihat karena orang keliling cinta apa ada kamu butuh jadi diri tumbuh selalu ajar tiap kurang","2","positif"
"https://youtu.be/WRxJGz-TA44?si=rfAIXKsyYvCPQPkk","@SuryaGumelarMindspace","Penuh dengan ekspetasi sangat releate","0","1 day ago","False","penuh ekspetasi sangat releate","1","positif"
"https://youtu.be/WRxJGz-TA44?si=rfAIXKsyYvCPQPkk","@krisdwiiyanti2751","Kak ana, aku jarang sekali terkagum dg seseorang, walopun dia sehebat apapun. Tapi dg kak ana, kagum yg blm pernah aku alami dg siapapun, Krena cara penyampaian yg bikin tenang, cara menangkap setiap pertanyaan atau permasalahan, seolah itu yg aku butuhkan ❤","0","1 day ago","False","kak ana aku jarang sekali kagum dg orang walopun hebat apa dg kak ana kagum belum pernah aku alami dg siapa krena cara sampai bikin tenang cara tangkap tanya masalah itu aku butuh","5","positif"
"https://youtu.be/WRxJGz-TA44?si=rfAIXKsyYvCPQPkk","@Justilla24","To my dearest child in the future,

Nak, mungkin sekarang kita belum bisa bertemu, karena Bunda masih sedang mengusahakan banyak hal. Bunda sedang belajar menjadi perempuan yang lebih baik, memantaskan diri, dan menyembuhkan luka-luka dari masa lalu, agar tidak ada luka yang harus kamu warisi dari Bunda.

Bunda ingin suatu hari nanti, ketika kamu tumbuh, kamu tidak merasa harus menjadi sempurna hanya untuk mendapatkan cinta Bunda. Tidak akan ada tuntutan yang berada di luar kemampuanmu. Kamu tidak harus menjadi seperti yang Bunda inginkan. Bunda hanya ingin kamu tumbuh menjadi dirimu sendiri, mengejar mimpi-mimpimu, dan menjalani hidup dengan hati yang tenang.

Bunda ingin menemanimu tumbuh tanpa membawa luka inner child yang belum selesai. Karena itu, Bunda sedang belajar menyembuhkan diri sekarang, supaya kelak Bunda bisa menjadi rumah yang aman untukmu.

Jadi, tunggu Bunda sebentar lagi ya, Nak. ♡
Bunda sedang memperkaya ilmu, memperbaiki diri, membangun masa depan, dan menata finansial. Bunda sedang berusaha menjadi versi terbaik dari diri Bunda—bukan agar kamu memiliki Bunda yang sempurna, tetapi agar kamu memiliki Bunda yang cukup kuat untuk mencintaimu dengan sehat.

Sampai saat kita akhirnya dipertemukan,
Bunda akan terus memantaskan diri untukmu. ♡","0","2 days ago","False","to my dearest child in the future nak mungkin sekarang belum temu bunda sedang usaha banyak bunda sedang ajar jadi perempuan lebih baik pantas diri sembuh luka luka masa lalu luka kamu waris bunda bunda suatu hari ketika kamu tumbuh kamu rasa harus jadi sempurna dapat cinta bunda tuntut ada luar mampu kamu tidak harus jadi bunda ingin bunda kamu tumbuh jadi diri sendiri kejar mimpi mimpi jalan hidup hati tenang bunda ingin teman tumbuh bawa luka inner child belum selesai itu bunda sedang ajar sembuh diri sekarang kelak bunda jadi rumah aman untuk jadi tunggu bunda sebentar ya nak bunda sedang kaya ilmu baik diri bangun masa depan tata finansial bunda sedang usaha jadi versi baik diri bunda bukan kamu milik bunda sempurna agar kamu milik bunda yang cukup kuat untuk cinta sehat saat akhir temu bunda akan terus pantas diri untuk","8","positif"
"https://youtu.be/WRxJGz-TA44?si=rfAIXKsyYvCPQPkk","@JatiIlalang-v1k","Enak banget ya dengerin omongan orang cerdas ""","0","2 days ago","False","enak banget dengerin omong orang cerdas","3","positif"
"https://youtu.be/WRxJGz-TA44?si=rfAIXKsyYvCPQPkk","@anaya1932","59:40 mksdnya gimn ya?","0","2 days ago","False","mksdnya gimn","0","netral"
"https://youtu.be/WRxJGz-TA44?si=rfAIXKsyYvCPQPkk","@ekocho","anakku rumaisha, jika belasan  tahun nanti kelak kamu bisa sudah bisa bermain socmed, semoga suatu saat nanti babamu bisa melihatkan konten yg berkelas ini","0","3 days ago","False","anak rumaisha bas tahun kelak kamu sudah main socmed moga suatu nanti baba lihat konten kelas","0","netral"
"https://youtu.be/WRxJGz-TA44?si=rfAIXKsyYvCPQPkk","@EvaDamayanti-p6c","Pendatang baru ni kk","0","3 days ago","False","datang baru ni kk","0","netral"
"https://youtu.be/WRxJGz-TA44?si=rfAIXKsyYvCPQPkk","@ikhwannur863","Umur 30 tahun sesi ini yg gua rasain banget","0","4 days ago","False","umur tahun sesi yang rasain banget","1","positif"
"https://youtu.be/WRxJGz-TA44?si=rfAIXKsyYvCPQPkk","@santidorego","Puji Tuhan bisa nonton ini🥰😇","0","4 days ago","False","puji tuhan nonton","2","positif"
"https://youtu.be/WRxJGz-TA44?si=rfAIXKsyYvCPQPkk","@vertigoflowers_","menit ke 40:51 kena si 😢","0","4 days ago","False","menit kena si","-1","negatif"
"https://youtu.be/WRxJGz-TA44?si=rfAIXKsyYvCPQPkk","@geusanmachyarhayat9506","previlege gue sebagai anak terakhir adalah minim ekspektasi dibanding kakak kakak gue, dan gue berasa lebih all out dan tanpa beban. Entah mana pola didik yang benar tapi kadang mikir juga, ini bentuk kepercayaan atau orang tua yang emang udah capek ngatur? haha","0","4 days ago","False","previlege bagai anak akhir minim ekspektasi banding kakak kakak asa lebih all out dan tanpa beban entah mana pola didik benar kadang mikir ini bentuk percaya orang tua emang capek ngatur haha","0","netral"
"https://youtu.be/WRxJGz-TA44?si=rfAIXKsyYvCPQPkk","@wipi1410","kalau 800 orang bilang bosnya toxic, berarti emang toxic ya😅","0","4 days ago (edited)","False","kalau orang bilang bos toxic arti emang toxic","-2","negatif"
"https://youtu.be/WRxJGz-TA44?si=rfAIXKsyYvCPQPkk","@G00GLE-MADETOTO","Kamu tidak harus sempurna untuk diterima oleh mereka. Mereka akan mencintaimu apa adanya, asli ngena banget sih kata kata ini","0","4 days ago","False","kamu harus sempurna terima mereka akan cinta apa ada asli ngena banget sih kata kata","4","positif"
"https://youtu.be/WRxJGz-TA44?si=rfAIXKsyYvCPQPkk","@vertigoflowers_","44:04 ini juga","0","4 days ago","True","juga","0","netral"
"https://youtu.be/WRxJGz-TA44?si=rfAIXKsyYvCPQPkk","@RahmaAuliaFaraDhisa","Pliss iyaa kak, aku cape bgt kl ada org yg begitu, ngajak ini itu maen kesana kesini cuma buat update sosmed, bikin video ini itu ya tp syukurnya skrg aku bisa tegasin diriku sendiri buat blg gak mau, dan aku jg ttp allways memilah milih teman, emg sepi kdg rasanya gada teman tp lebih nyaman ada teman yg bener"" Bisa diajak untuk maju kedepannya dlm hal berpikir tentunya","3","5 days ago","False","pliss iyaa kak aku cape banget kl orang begitu ngajak itu maen kesana kesini cuma buat update sosmed bikin video itu syukur sekarang aku tegasin diri sendiri buat blg mau aku jg ttp allways mem milih teman emg sepi kdg rasa gada teman tapi lebih nyaman teman bener ajak maju depan dlm pikir tentu","2","positif"
"https://youtu.be/WRxJGz-TA44?si=rfAIXKsyYvCPQPkk","@fauqiarifandi9727","Seorang kakak juga butuh si sosok seseorang kakak 😢","0","5 days ago","False","orang kakak butuh si sosok orang kakak","-1","negatif"
